Freq.	((30-abs(V(vo)))/30)*100
1.00000000000000e+00	9.95960386656789e+00
1.25892541179417e+00	9.95960739643749e+00
1.58489319246111e+00	9.95961299090294e+00
1.99526231496888e+00	9.95962185753109e+00
2.51188643150958e+00	9.95963591018423e+00
3.16227766016838e+00	9.95965818212512e+00
3.98107170553497e+00	9.95969348073874e+00
5.01187233627272e+00	9.95974942518610e+00
6.30957344480194e+00	9.95983809094628e+00
7.94328234724282e+00	9.95997861616948e+00
1.00000000000000e+01	9.96020133229132e+00
1.25892541179417e+01	9.96055431017142e+00
1.58489319246111e+01	9.96111373390742e+00
1.99526231496888e+01	9.96200033941967e+00
2.51188643150958e+01	9.96340546081269e+00
3.16227766016838e+01	9.96563229339770e+00
3.98107170553498e+01	9.96916124678184e+00
5.01187233627273e+01	9.97475341108161e+00
6.30957344480194e+01	9.98361426008152e+00
7.94328234724283e+01	9.99765240147640e+00
1.00000000000000e+02	1.00198879091042e+01
1.25892541179417e+02	1.00550950808699e+01
1.58489319246112e+02	1.01108101319876e+01
1.99526231496888e+02	1.01989008466273e+01
2.51188643150958e+02	1.03379862624928e+01
3.16227766016838e+02	1.05571040864359e+01
3.98107170553498e+02	1.09011155421369e+01
5.01187233627273e+02	1.14382980950888e+01
6.30957344480194e+02	1.22701230819278e+01
7.94328234724283e+02	1.35417680244378e+01
1.00000000000000e+03	1.54485915951097e+01
1.25892541179417e+03	1.82281341147998e+01
1.58489319246112e+03	2.21217073465547e+01
1.99526231496888e+03	2.72938704522728e+01
2.51188643150959e+03	3.37259844590886e+01
3.16227766016839e+03	4.11453962482566e+01
3.98107170553498e+03	4.90621857184330e+01
5.01187233627273e+03	5.69143819274035e+01
6.30957344480195e+03	6.42313317449431e+01
7.94328234724283e+03	7.07227136421629e+01
1.00000000000000e+04	7.62769315467941e+01
1.25892541179417e+04	8.09101518557256e+01
1.58489319246112e+04	8.47092494492754e+01
1.99526231496889e+04	8.77892423750364e+01
2.51188643150959e+04	9.02679116272276e+01
3.16227766016839e+04	9.22532461723140e+01
3.98107170553498e+04	9.38386651666781e+01
5.01187233627274e+04	9.51023409265258e+01
6.30957344480195e+04	9.61084041742243e+01
7.94328234724284e+04	9.69088359181883e+01
1.00000000000000e+05	9.75454587932830e+01
1.25892541179417e+05	9.80517703471993e+01
1.58489319246112e+05	9.84545274372010e+01
1.99526231496889e+05	9.87750693774281e+01
2.51188643150959e+05	9.90304005974064e+01
3.16227766016839e+05	9.92340643040770e+01
3.98107170553499e+05	9.93968387683165e+01
5.01187233627274e+05	9.95272834058780e+01
6.30957344480196e+05	9.96321565367536e+01
7.94328234724285e+05	9.97167247132921e+01
1.00000000000000e+06	9.97849907590214e+01
