Freq.	ev_m
1.00000000000000e+00	4.81907092498378e+00
1.25892541179417e+00	4.81907102250228e+00
1.58489319246111e+00	4.81907117705854e+00
1.99526231496888e+00	4.81907142201393e+00
2.51188643150958e+00	4.81907181024186e+00
3.16227766016838e+00	4.81907242554174e+00
3.98107170553497e+00	4.81907340072629e+00
5.01187233627272e+00	4.81907494628961e+00
6.30957344480194e+00	4.81907739584212e+00
7.94328234724282e+00	4.81908127812090e+00
1.00000000000000e+01	4.81908743111720e+00
1.25892541179417e+01	4.81909718295665e+00
1.58489319246111e+01	4.81911263857452e+00
1.99526231496888e+01	4.81913713406261e+00
2.51188643150958e+01	4.81917595675616e+00
3.16227766016838e+01	4.81923748648169e+00
3.98107170553498e+01	4.81933500428022e+00
5.01187233627273e+01	4.81948955896155e+00
6.30957344480194e+01	4.81973451008184e+00
7.94328234724283e+01	4.82012272757127e+00
1.00000000000000e+02	4.82073800109831e+00
1.25892541179417e+02	4.82171311948485e+00
1.58489319246112e+02	4.82325851659551e+00
1.99526231496888e+02	4.82570765178436e+00
2.51188643150958e+02	4.82958888226503e+00
3.16227766016838e+02	4.83573924562331e+00
3.98107170553498e+02	4.84548447290595e+00
5.01187233627273e+02	4.86092348728919e+00
6.30957344480194e+02	4.88537729161234e+00
7.94328234724283e+02	4.92409536875956e+00
1.00000000000000e+03	4.98536266102191e+00
1.25892541179417e+03	5.08222265157846e+00
1.58489319246112e+03	5.23513051598434e+00
1.99526231496888e+03	5.47596682472380e+00
2.51188643150959e+03	5.85393407205641e+00
3.16227766016839e+03	6.44379447265517e+00
3.98107170553498e+03	7.35636735176434e+00
5.01187233627273e+03	8.74954347818855e+00
6.30957344480195e+03	1.08343498963940e+01
7.94328234724283e+03	1.38644439067676e+01
1.00000000000000e+04	1.80919583162923e+01
1.25892541179417e+04	2.36787109298286e+01
1.58489319246112e+04	3.05837293837092e+01
1.99526231496889e+04	3.84956350460702e+01
2.51188643150959e+04	4.68829057063942e+01
3.16227766016839e+04	5.51536738039850e+01
3.98107170553498e+04	6.28246618655921e+01
5.01187233627274e+04	6.96064751249412e+01
6.30957344480195e+04	7.53953294451101e+01
7.94328234724284e+04	8.02171235301789e+01
1.00000000000000e+05	8.41679449255492e+01
1.25892541179417e+05	8.73707047748595e+01
1.58489319246112e+05	8.99496999784058e+01
1.99526231496889e+05	9.20182459215723e+01
2.51188643150959e+05	9.36741223214241e+01
3.16227766016839e+05	9.49990793602909e+01
3.98107170553499e+05	9.60601539260494e+01
5.01187233627274e+05	9.69115752974586e+01
6.30957344480196e+05	9.75966462322113e+01
7.94328234724285e+05	9.81493327936380e+01
1.00000000000000e+06	9.85955392237111e+01
